BasalACh2_amici,BasalACh2_copasi,BasalACh2_tellurium,IntermediateACh_amici,IntermediateACh_copasi,IntermediateACh_tellurium,ActiveACh_amici,ActiveACh_copasi,ActiveACh_tellurium,Active_amici,Active_copasi,Active_tellurium,BasalACh_amici,BasalACh_copasi,BasalACh_tellurium,Basal_amici,Basal_copasi,Basal_tellurium,DesensitisedACh2_amici,DesensitisedACh2_copasi,DesensitisedACh2_tellurium,Desensitised_amici,Desensitised_copasi,Desensitised_tellurium,IntermediateACh2_amici,IntermediateACh2_copasi,IntermediateACh2_tellurium,DesensitisedACh_amici,DesensitisedACh_copasi,DesensitisedACh_tellurium,Intermediate_amici,Intermediate_copasi,Intermediate_tellurium,ActiveACh2_amici,ActiveACh2_copasi,ActiveACh2_tellurium
1.3238354200276174e-08,1.323835502756891e-08,5.675424438692609e-07,1.3953167290530932e-05,1.3953167211525296e-05,5.675424438692609e-07,5.675425731298978e-07,5.675425999249545e-07,5.675424438692609e-07,5.675425731298978e-07,5.675425999249545e-07,5.675424438692609e-07,1.4112258660612695e-07,1.411225995378774e-07,5.675424438692609e-07,3.763329360926902e-07,3.7633297035768683e-07,5.675424438692609e-07,1.465373733530139e-06,1.4653737338788582e-06,5.675424438692609e-07,7.815326623779265e-09,7.81532662595336e-09,5.675424438692609e-07,1.3953167290530932e-05,1.3953167211525296e-05,5.675424438692609e-07,7.815326623779265e-09,7.81532662595336e-09,5.675424438692609e-07,9.922450471200008e-11,9.922451071240704e-11,5.675424438692609e-07,5.675425731298978e-07,5.675425999249545e-07,5.675424438692609e-07
1.317728818688149e-08,1.3177288518874894e-08,5.649244059006042e-07,1.3888812081234836e-05,1.3888812053776739e-05,5.649244059006042e-07,5.649246113055859e-07,5.649246255419736e-07,5.649244059006042e-07,5.649246113055859e-07,5.649246255419736e-07,5.649244059006042e-07,1.404716129814217e-07,1.4047161651011672e-07,5.649244059006042e-07,3.745969778290391e-07,3.745969874732599e-07,5.649244059006042e-07,1.5347985475652937e-06,1.5347985476954787e-06,5.649244059006042e-07,8.185592298425156e-09,8.185592299089868e-09,5.649244059006042e-07,1.3888812081234836e-05,1.3888812053776739e-05,5.649244059006042e-07,8.185592298425156e-09,8.185592299089868e-09,5.649244059006042e-07,9.876685843216586e-11,9.876685753621844e-11,5.649244059006042e-07,5.649246113055859e-07,5.649246255419736e-07,5.649244059006042e-07
1.3116511743955455e-08,1.3116511472000542e-08,5.623189273317069e-07,1.38247621557735e-05,1.3824762180833221e-05,5.623189273317069e-07,5.62319063723013e-07,5.62319054152323e-07,5.623189273317069e-07,5.62319063723013e-07,5.62319054152323e-07,5.623189273317069e-07,1.398237261965153e-07,1.3982372230807061e-07,5.623189273317069e-07,3.728692512628721e-07,3.7286924093353097e-07,5.623189273317069e-07,1.6038940381324319e-06,1.6038940380369543e-06,5.623189273317069e-07,8.554101581242599e-09,8.554101580659436e-09,5.623189273317069e-07,1.38247621557735e-05,1.3824762180833221e-05,5.623189273317069e-07,8.554101581242599e-09,8.554101580659436e-09,5.623189273317069e-07,9.831138310203141e-11,9.831138173947672e-11,5.623189273317069e-07,5.62319063723013e-07,5.62319054152323e-07,5.623189273317069e-07
1.3056023548003024e-08,1.3056023142345381e-08,5.597257757499707e-07,1.3761016061797264e-05,1.376101609573028e-05,5.597257757499707e-07,5.597258736116282e-07,5.597258565187239e-07,5.597257757499707e-07,5.597258736116282e-07,5.597258565187239e-07,5.597257757499707e-07,1.3917891215682262e-07,1.3917890769971995e-07,5.597257757499707e-07,3.7114971881341757e-07,3.711497067247823e-07,5.597257757499707e-07,1.6726617674293138e-06,1.6726617673041886e-06,5.597257757499707e-07,8.920862803952986e-09,8.920862803301874e-09,5.597257757499707e-07,1.3761016061797264e-05,1.376101609573028e-05,5.597257757499707e-07,8.920862803952986e-09,8.920862803301874e-09,5.597257757499707e-07,9.785806839425318e-11,9.785806904388528e-11,5.597257757499707e-07,5.597258736116282e-07,5.597258565187239e-07,5.597257757499707e-07
1.2995822291340963e-08,1.2995822149992671e-08,5.571449767096184e-07,1.3697572353046127e-05,1.3697572364432926e-05,5.571449767096184e-07,5.571449848730586e-07,5.571449784715599e-07,5.571449767096184e-07,5.571449848730586e-07,5.571449784715599e-07,5.571449767096184e-07,1.3853715693890249e-07,1.3853715559442617e-07,5.571449767096184e-07,3.6943834335728853e-07,3.6943833982191764e-07,5.571449767096184e-07,1.7411032902465182e-06,1.74110329023434e-06,5.571449767096184e-07,9.285884258772737e-09,9.285884258715722e-09,5.571449767096184e-07,1.3697572353046127e-05,1.3697572364432926e-05,5.571449767096184e-07,9.285884258772737e-09,9.285884258715722e-09,5.571449767096184e-07,9.740690402491838e-11,9.740690422813711e-11,5.571449767096184e-07,5.571449848730586e-07,5.571449784715599e-07,5.571449767096184e-07
1.2935906621913522e-08,1.2935906913537662e-08,5.545763946611522e-07,1.3634429594365083e-05,1.3634429568773751e-05,5.545763946611522e-07,5.545763395377769e-07,5.545763508332003e-07,5.545763946611522e-07,5.545763395377769e-07,5.545763508332003e-07,5.545763946611522e-07,1.3789844613213493e-07,1.378984498062151e-07,5.545763946611522e-07,3.677350864664971e-07,3.677350964566971e-07,5.545763946611522e-07,1.809220153979891e-06,1.809220154178399e-06,5.545763946611522e-07,9.649174198479695e-09,9.649174199555634e-09,5.545763946611522e-07,1.3634429594365083e-05,1.3634429568773751e-05,5.545763946611522e-07,9.649174198479695e-09,9.649174199555634e-09,5.545763946611522e-07,9.695787978839653e-11,9.695787987510108e-11,5.545763946611522e-07,5.545763395377769e-07,5.545763508332003e-07,5.545763946611522e-07
1.287627516667626e-08,1.2876276237388677e-08,5.520199772004638e-07,1.357158636052716e-05,1.357158626655852e-05,5.520199772004638e-07,5.520198787536945e-07,5.520199209516211e-07,5.520199772004638e-07,5.520198787536945e-07,5.520199209516211e-07,5.520199772004638e-07,1.3726276509431487e-07,1.3726277824196493e-07,5.520199772004638e-07,3.6603990909247435e-07,3.660399447448345e-07,5.520199772004638e-07,1.877013897854382e-06,1.8770138993170852e-06,5.520199772004638e-07,1.0010740832273588e-08,1.0010740840126286e-08,5.520199772004638e-07,1.357158636052716e-05,1.357158626655852e-05,5.520199772004638e-07,1.0010740832273588e-08,1.0010740840126286e-08,5.520199772004638e-07,9.651098554927687e-11,9.651098568942021e-11,5.520199772004638e-07,5.520198787536945e-07,5.520199209516211e-07,5.520199772004638e-07
1.2816926573653354e-08,1.2816927724624136e-08,5.494757093903115e-07,1.3509041230495377e-05,1.3509041130284368e-05,5.494757093903115e-07,5.494755445622627e-07,5.494755918450247e-07,5.494757093903115e-07,5.494755445622627e-07,5.494755918450247e-07,5.494757093903115e-07,1.3663009941224036e-07,1.3663011264054813e-07,5.494757093903115e-07,3.6435277279902873e-07,3.643528084127639e-07,5.494757093903115e-07,1.944486055147614e-06,1.9444860578518647e-06,5.494757093903115e-07,1.0370592337635062e-08,1.0370592352079807e-08,5.494757093903115e-07,1.3509041230495377e-05,1.3509041130284368e-05,5.494757093903115e-07,1.0370592337635062e-08,1.0370592352079807e-08,5.494757093903115e-07,9.606621120215873e-11,9.606621084127615e-11,5.494757093903115e-07,5.494755445622627e-07,5.494755918450247e-07,5.494757093903115e-07
1.2757859504034288e-08,1.2757860700209635e-08,5.46943481946924e-07,1.3446792789574114e-05,1.3446792685512661e-05,5.46943481946924e-07,5.469432795652888e-07,5.469433299587741e-07,5.46943481946924e-07,5.469432795652888e-07,5.469433299587741e-07,5.46943481946924e-07,1.3600043481489687e-07,1.3600044797244981e-07,5.46943481946924e-07,3.626736395298489e-07,3.626736747735531e-07,5.46943481946924e-07,2.0116381516994255e-06,2.011638155685368e-06,5.46943481946924e-07,1.072873685237659e-08,1.0728736873636156e-08,5.46943481946924e-07,1.3446792789574114e-05,1.3446792685512661e-05,5.46943481946924e-07,1.072873685237659e-08,1.0728736873636156e-08,5.46943481946924e-07,9.562354668682632e-11,9.562354597603458e-11,5.46943481946924e-07,5.469432795652888e-07,5.469433299587741e-07,5.46943481946924e-07
1.2699072624906142e-08,1.2699073777047945e-08,5.444232135203435e-07,1.3384839630137021e-05,1.3384839528589042e-05,5.444232135203435e-07,5.444230266178755e-07,5.444230751849615e-07,5.444232135203435e-07,5.444230266178755e-07,5.444230751849615e-07,5.444232135203435e-07,1.3537375709393045e-07,1.3537376975362037e-07,5.444232135203435e-07,3.61002471395641e-07,3.6100250530058076e-07,5.444232135203435e-07,2.0784717057911705e-06,2.078471710974726e-06,5.444232135203435e-07,1.1085182473998717e-08,1.108518250164533e-08,5.444232135203435e-07,1.3384839630137021e-05,1.3384839528589042e-05,5.444232135203435e-07,1.1085182473998717e-08,1.108518250164533e-08,5.444232135203435e-07,9.518298199332488e-11,9.518298129734335e-11,5.444232135203435e-07,5.444230266178755e-07,5.444230751849615e-07,5.444232135203435e-07
